operator,post_id,message,created_time,comments,likes,love,haha,sad,angry
gp,121148644629531_1612370152174032,"গ্রামীণফোন 4G অফারসমূহ  ( Tap / Click on ""Continue Reading"" ""See More"")  ▶ গ্রামীণফোন 4G সিম রিপ্লেসে ফ্রি 1.5GB ইন্টারনেট! গ্রামীণফোন সেন্টারে থেকে 4G Ready সিম নিয়ে নিন! 4G Ready সিম কিনা চেক করুন https://goo.gl/GwfbNU  ▶গ্রামীণফোন Micromax Canvas 1 ফোরজি স্মার্টফোন ৭৫৯৯টাকা এবং ৪জিবি +১২ জিবি ইন্টারনেট ফ্রি! https://goo.gl/KLUZ8B  ▶গ্রামীণফোন WE T1 ফোরজি স্মার্টফোন ৪৪৪৪টাকা   এবং ৪জিবি +১২ জিবি ইন্টারনেট ফ্রি! https://goo.gl/a9WNrU",2018-03-03T15:30:00+0000,5,45,1,0,0,0
gp,1612370152174032_1612414632169584,re registered kora jay,2018-03-03T15:31:10+0000,0,0,0,0,0,0
gp,1612370152174032_1612428848834829,আমার বন্ধু প্যাকেজে সুপার fnf এ কত পয়সা মিনিট কাটবে,2018-03-03T15:47:41+0000,0,0,0,0,0,0
gp,1612370152174032_1612439892167058,Iphone e 4g kobe chalu hoche?,2018-03-03T16:01:51+0000,0,0,0,0,0,0
gp,1612370152174032_1613253522085695,*33*0000# dayel koray Ami phone dite partesi na Ki korbo???,2018-03-04T11:25:56+0000,0,0,0,0,0,0
gp,1612370152174032_1613615222049525,aj ami akta sim repless korci bt 1.5 internet paini kno?,2018-03-04T18:02:46+0000,0,0,0,0,0,0
gp,121148644629531_1603133159764398,"4G অফারসমূহ  ( Tap / Click on ""Continue Reading"" ""See More"")  ▶ গ্রামীণফোন 4G সিম রিপ্লেসে ফ্রি 1.5GB ইন্টারনেট! গ্রামীণফোন সেন্টারে থেকে 4G Ready সিম নিয়ে নিন! 4G Ready সিম কিনা চেক করুন https://goo.gl/GwfbNU  ▶গ্রামীণফোন Micromax Canvas 1 ফোরজি স্মার্টফোন ৭৫৯৯টাকা এবং ৪জিবি +১২ জিবি ইন্টারনেট ফ্রি! https://goo.gl/KLUZ8B  ▶গ্রামীণফোন WE T1 ফোরজি স্মার্টফোন ৪৪৪৪টাকা   এবং ৪জিবি +১২ জিবি ইন্টারনেট ফ্রি! https://goo.gl/a9WNrU",2018-02-22T14:40:39+0000,9,97,0,2,0,0
gp,1603133159764398_1603214219756292,Khalilur Rahman Khalil,2018-02-22T15:24:42+0000,0,0,0,0,0,0
gp,1603133159764398_1603234753087572,আগেৱ পুৱাতন সিম 4জি কৱতে কি কৱতে হবে,2018-02-22T15:50:41+0000,0,0,0,0,0,0
gp,1603133159764398_1603263266418054,আপনাদের নেটওয়ার্ক এত জঘন্য ক্যান ইদানিং?,2018-02-22T16:28:42+0000,0,1,0,0,0,0
